metric,value,unit
rows,218.0,count
observed_pass,139.0,count
observed_fail,79.0,count
observed_pass_rate,63.76146788990825,%
projected_pass_if_new_trace_arrival_gate_is_accepted,140.0,count
projected_fail_if_new_trace_arrival_gate_is_accepted,78.0,count
projected_pass_rate_if_new_trace_arrival_gate_is_accepted,64.22018348623853,%
poisson_exponential_rows,210.0,count
deterministic_fixed_rows,7.0,count
trace_rows,1.0,count
mean_poisson_total_APE_A,2.2330554143523806,%
mean_poisson_total_APE_B,2.6286271371999996,%
mean_poisson_interarrival_CV_A,1.0015211746666666,ratio
mean_poisson_interarrival_CV_B,0.9998923806904761,ratio
mean_poisson_service_CV_A,0.9985178668190476,ratio
mean_poisson_service_CV_B,0.9994319504380953,ratio
mean_deterministic_total_APE_A,0.03273904057142857,%
mean_deterministic_total_APE_B,0.03246863285714286,%
overall_mean_total_APE_A,2.16207746681106,%
overall_mean_total_APE_B,2.5448800886728113,%
overall_mean_network_APE,1.0152268093853212,%
new_trace_global_n,131072.0,count
new_trace_global_mean_multiplier,1.0,ratio
new_trace_global_CV,1.0000988439085576,ratio
new_trace_A_n,1802.0,count
new_trace_A_CV,0.9926630735680564,ratio
new_trace_A_lambda_abs_pct_error,0.187213475075984,%
new_trace_B_n,3593.0,count
new_trace_B_CV,0.9979737024894366,ratio
new_trace_B_lambda_abs_pct_error,0.0186470945586607,%
new_trace_diagnostic_pass_5pct_rate_5pct_cv,1.0,bool
old_trace_only_arrivalShapeOk_blocked_gate,1.0,bool
